"region_id","occupation_id","total"
1,1,-14168
1,2,-11847
1,3,126
1,4,-6153
1,5,-1952
1,6,-1360
1,7,-5340
1,8,-2991
1,9,-1234
2,1,-6647
2,2,-6242
2,3,43
2,4,-3640
2,5,-796
2,6,-1146
2,7,-4524
2,8,-1341
2,9,-2065
3,1,-12875
3,2,-8003
3,3,-285
3,4,-4195
3,5,-1047
3,6,-685
3,7,-3882
3,8,-1784
3,9,-885
4,1,2784
4,2,3853
4,3,597
4,4,1692
4,5,2160
4,6,476
4,7,4215
4,8,3621
4,9,1063
5,1,2515
5,2,3774
5,3,248
5,4,956
5,5,314
5,6,254
5,7,1832
5,8,925
5,9,557
6,1,-325
6,2,97
6,3,10
6,4,-30
6,5,1
6,6,-33
6,7,-56
6,8,-47
6,9,-10
7,1,-11942
7,2,-9064
7,3,93
7,4,-5378
7,5,-1686
7,6,-1246
7,7,-5152
7,8,-2063
7,9,-2643
8,1,-16359
8,2,-7962
8,3,-163
8,4,-5107
8,5,-1112
8,6,-1187
8,7,-4749
8,8,-2628
8,9,-325
9,1,-1995
9,2,-3361
9,3,117
9,4,-510
9,5,-254
9,6,-108
9,7,-478
9,8,262
9,9,7
10,1,-7024
10,2,-5763
10,3,63
10,4,-3377
10,5,-1081
10,6,-677
10,7,-3432
10,8,-1902
10,9,-2004
11,1,-1673
11,2,-2648
11,3,68
11,4,-1248
11,5,-275
11,6,-200
11,7,-1190
11,8,-303
11,9,-4
12,1,438
12,2,617
12,3,36
12,4,310
12,5,169
12,6,109
12,7,376
12,8,306
12,9,236
13,1,-821
13,2,506
13,3,151
13,4,250
13,5,234
13,6,13
13,7,953
13,8,685
13,9,255
14,1,-2838
14,2,-926
14,3,135
14,4,-850
14,5,-289
14,6,-195
14,7,-796
14,8,-377
14,9,98
