region_id,occupation_id,region,occupation,total,average
1,1,г.алматы,Техническое,-3167,-176
1,2,г.алматы,Медицинское,292,15
1,3,г.алматы,Экономическое,-958,-50
1,4,г.алматы,Юридическое,-297,-17
1,5,г.алматы,Сельскохозяйственное,38,2
1,6,г.алматы,Архитектурноe,-3857,-203
1,7,г.алматы,Педагогическое,-462,-24
1,8,г.алматы,Не указавшие,215,36
1,9,г.алматы,Другое,-9087,-478
2,1,г.нур-султан,Техническое,-3475,-183
2,2,г.нур-султан,Медицинское,-890,-47
2,3,г.нур-султан,Экономическое,-1238,-65
2,4,г.нур-султан,Юридическое,-172,-9
2,5,г.нур-султан,Сельскохозяйственное,-331,-17
2,6,г.нур-султан,Архитектурноe,-676,-40
2,7,г.нур-султан,Педагогическое,-817,-43
2,8,г.нур-султан,Не указавшие,632,70
2,9,г.нур-султан,Другое,-1418,-75
3,1,акмолинская область,Техническое,-7024,-390
3,2,акмолинская область,Медицинское,-1902,-106
3,3,акмолинская область,Экономическое,-3377,-188
3,4,акмолинская область,Юридическое,-677,-38
3,5,акмолинская область,Сельскохозяйственное,-2004,-111
3,6,акмолинская область,Архитектурноe,-1081,-60
3,7,акмолинская область,Педагогическое,-3432,-191
3,8,акмолинская область,Не указавшие,63,5
3,9,акмолинская область,Другое,-5763,-320
4,1,актюбинская область,Техническое,-2838,-158
4,2,актюбинская область,Медицинское,-377,-21
4,3,актюбинская область,Экономическое,-850,-47
4,4,актюбинская область,Юридическое,-195,-11
4,5,актюбинская область,Сельскохозяйственное,98,6
4,6,актюбинская область,Архитектурноe,-289,-16
4,7,актюбинская область,Педагогическое,-796,-44
4,8,актюбинская область,Не указавшие,135,15
4,9,актюбинская область,Другое,-926,-51
5,1,алматинская область,Техническое,-821,-46
5,2,алматинская область,Медицинское,685,38
5,3,алматинская область,Экономическое,250,14
5,4,алматинская область,Юридическое,13,1
5,5,алматинская область,Сельскохозяйственное,255,14
5,6,алматинская область,Архитектурноe,234,14
5,7,алматинская область,Педагогическое,953,53
5,8,алматинская область,Не указавшие,151,15
5,9,алматинская область,Другое,506,28
6,1,атырауская область,Техническое,438,24
6,2,атырауская область,Медицинское,306,17
6,3,атырауская область,Экономическое,310,17
6,4,атырауская область,Юридическое,109,6
6,5,атырауская область,Сельскохозяйственное,236,14
6,6,атырауская область,Архитектурноe,169,9
6,7,атырауская область,Педагогическое,376,21
6,8,атырауская область,Не указавшие,36,9
6,9,атырауская область,Другое,617,34
7,1,восточно-казахстанская область,Техническое,-14168,-787
7,2,восточно-казахстанская область,Медицинское,-2991,-166
7,3,восточно-казахстанская область,Экономическое,-6153,-342
7,4,восточно-казахстанская область,Юридическое,-1360,-76
7,5,восточно-казахстанская область,Сельскохозяйственное,-1234,-69
7,6,восточно-казахстанская область,Архитектурноe,-1952,-108
7,7,восточно-казахстанская область,Педагогическое,-5340,-297
7,8,восточно-казахстанская область,Не указавшие,126,11
7,9,восточно-казахстанская область,Другое,-11847,-658
8,1,жамбылская область,Техническое,-1995,-111
8,2,жамбылская область,Медицинское,262,15
8,3,жамбылская область,Экономическое,-510,-28
8,4,жамбылская область,Юридическое,-108,-6
8,5,жамбылская область,Сельскохозяйственное,7,0
8,6,жамбылская область,Архитектурноe,-254,-14
8,7,жамбылская область,Педагогическое,-478,-28
8,8,жамбылская область,Не указавшие,117,9
8,9,жамбылская область,Другое,-3361,-187
9,1,западно-казахстанская область,Техническое,-1673,-93
9,2,западно-казахстанская область,Медицинское,-303,-19
9,3,западно-казахстанская область,Экономическое,-1248,-69
9,4,западно-казахстанская область,Юридическое,-200,-11
9,5,западно-казахстанская область,Сельскохозяйственное,-4,-0
9,6,западно-казахстанская область,Архитектурноe,-275,-16
9,7,западно-казахстанская область,Педагогическое,-1190,-66
9,8,западно-казахстанская область,Не указавшие,68,34
9,9,западно-казахстанская область,Другое,-2648,-147
10,1,карагандинская область,Техническое,-16359,-909
10,2,карагандинская область,Медицинское,-2628,-146
10,3,карагандинская область,Экономическое,-5107,-284
10,4,карагандинская область,Юридическое,-1187,-66
10,5,карагандинская область,Сельскохозяйственное,-325,-19
10,6,карагандинская область,Архитектурноe,-1112,-62
10,7,карагандинская область,Педагогическое,-4749,-264
10,8,карагандинская область,Не указавшие,-163,-15
10,9,карагандинская область,Другое,-7962,-442
11,1,костанайская область,Техническое,-11942,-663
11,2,костанайская область,Медицинское,-2063,-115
11,3,костанайская область,Экономическое,-5378,-299
11,4,костанайская область,Юридическое,-1246,-69
11,5,костанайская область,Сельскохозяйственное,-2643,-147
11,6,костанайская область,Архитектурноe,-1686,-94
11,7,костанайская область,Педагогическое,-5152,-286
11,8,костанайская область,Не указавшие,93,10
11,9,костанайская область,Другое,-9064,-504
12,1,кызылординская область,Техническое,-325,-18
12,2,кызылординская область,Медицинское,-47,-3
12,3,кызылординская область,Экономическое,-30,-2
12,4,кызылординская область,Юридическое,-33,-2
12,5,кызылординская область,Сельскохозяйственное,-10,-1
12,6,кызылординская область,Архитектурноe,1,0
12,7,кызылординская область,Педагогическое,-56,-3
12,8,кызылординская область,Не указавшие,10,3
12,9,кызылординская область,Другое,97,5
13,1,мангистауская область,Техническое,2515,140
13,2,мангистауская область,Медицинское,925,51
13,3,мангистауская область,Экономическое,956,53
13,4,мангистауская область,Юридическое,254,15
13,5,мангистауская область,Сельскохозяйственное,557,31
13,6,мангистауская область,Архитектурноe,314,17
13,7,мангистауская область,Педагогическое,1832,102
13,8,мангистауская область,Не указавшие,248,21
13,9,мангистауская область,Другое,3774,210
14,1,павлодарская область,Техническое,-12875,-715
14,2,павлодарская область,Медицинское,-1784,-99
14,3,павлодарская область,Экономическое,-4195,-233
14,4,павлодарская область,Юридическое,-685,-38
14,5,павлодарская область,Сельскохозяйственное,-885,-52
14,6,павлодарская область,Архитектурноe,-1047,-58
14,7,павлодарская область,Педагогическое,-3882,-216
14,8,павлодарская область,Не указавшие,-285,-24
14,9,павлодарская область,Другое,-8003,-445
15,1,северо-казахстанская область,Техническое,-6647,-369
15,2,северо-казахстанская область,Медицинское,-1341,-75
15,3,северо-казахстанская область,Экономическое,-3640,-202
15,4,северо-казахстанская область,Юридическое,-1146,-64
15,5,северо-казахстанская область,Сельскохозяйственное,-2065,-115
15,6,северо-казахстанская область,Архитектурноe,-796,-44
15,7,северо-казахстанская область,Педагогическое,-4524,-251
15,8,северо-казахстанская область,Не указавшие,43,4
15,9,северо-казахстанская область,Другое,-6242,-347
16,1,южно-казахстанская область,Техническое,2784,155
16,2,южно-казахстанская область,Медицинское,3621,201
16,3,южно-казахстанская область,Экономическое,1692,100
16,4,южно-казахстанская область,Юридическое,476,26
16,5,южно-казахстанская область,Сельскохозяйственное,1063,59
16,6,южно-казахстанская область,Архитектурноe,2160,127
16,7,южно-казахстанская область,Педагогическое,4215,234
16,8,южно-казахстанская область,Не указавшие,597,46
16,9,южно-казахстанская область,Другое,3853,214
